36,Medien-Projekt mit Themenschwerpunkt „Web&Mobile“,MIB18,9,"Vorlesung (2 SWS), Praktikum (2 SWS)",4,Web&Mobile,ja,Die empfohlenen projektspezifischen Voraussetzungen werden zu Beginn der Veranstaltung bekannt gegeben,keine,Anwesenheit,Projekt,
37,Netzwerksicherheit,MIB20,6,"Vorlesung (4 SWS), Praktikum (2 SWS)",4,Web&Mobile,ja,keine,keine,Keine,"1. Teilleistung (unbenotet,
 vgl. § 3 Abs. 6 der Allgemeinen Bestimmungen):
 Praktikum 2. Teilleistung (benotet):
  Klausur,  mündliche Prüfung  oder schriftliche
 Ausarbeitung mit Präsentation (wird
 jeweils zu Beginn des Semesters bekannt gegeben)",
38,Seminar mit Themenschwerpunkt „Web&Mobile“,MIB22,6,"Seminar (4 SWS), unterteilt in 2 SWS Englisch und 2 SWS Fachseminar",4,Web&Mobile,ja,Eingangsniveau Englisch B1 gemäß GER,Bachelorarbeit,Anwesenheit,"Schriftliche Ausarbeitung mit Präsentation,
 mindestens jeweilige Kurzfassung in Englisch",
39,Praxisphase : Praxisprojekt mit Themenschwerpunkt „Web&Mobile“,MIB23a,12,Praktikum (Vollzeit),6,Web&Mobile,ja,Teilnahme an zwei Informationsveranstaltungen der Betreuungsstelle für Praxisphasen; Zulassung laut Prüfungsordnung Anlage 3,Bachelorarbeit,Keine,Schriftliche Ausarbeitung,
40,Bachelorarbeit mit Kolloquium mit Themenschwerpunkt „Web&Mobile“,MIB24,15,,6,Web&Mobile,ja,"n Praxisprojekt (MIB23a) abgeschlossen, Praxisseminar (MIB23b) abgeschlossen bis zum Zeitpunkt des Kolloquiums und Voraussetzungen laut Prüfungsordnung",keine,Keine,Bachelorarbeit mit Kolloquium,"27,28"
41,Mobile Anwendungen 2,MIB29,6,"Seminar (1 SWS), Praktikum (3 SWS)",5,Web&Mobile,nein,Mobile Anwendungen 1,keine,Anwesenheit,Projekt,24
42,Internet of Things,MIB30,6,"Seminar (2 SWS), Praktikum (2 SWS)",5,Web&Mobile,nein,"Netzwerksicherheit, Webprogrammierung 2 und Mobile Anwendungen 1",keine,Testat,Projekt,"37,13,24"
43,Frontend Development,MIB31,6,"Seminar (1 SWS), Praktikum (3 SWS)",5,Web&Mobile,nein,Web-Programmierung 1,keine,Anwesenheit,Projekt,8
27,Praxisphase : Praxisprojekt,MIB23a,12,Praktikum (Vollzeit),6,Medienproduktion,ja,Teilnahme an zwei Informationsveranstaltungen der Betreuungsstelle für Praxisphasen; Zulassung laut Prüfungsordnung Anlage 3,Bachelorarbeit,Keine,Schriftliche Ausarbeitung,
44,Content Management Systeme,MIB32,6,"Seminar (1 SWS), Praktikum (3 SWS)",5,Web&Mobile,nein,Web-Programmierung 2,keine,Anwesenheit,Projekt,13
29,Bachelorarbeit mit Kolloquium,MIB24,15,,6,Medienproduktion,ja,"n Praxisprojekt (MIB23a) abgeschlossen, Praxisseminar (MIB23b) abgeschlossen bis zum Zeitpunkt des Kolloquiums und Voraussetzungen laut Prüfungsordnung",keine,Keine,Bachelorarbeit mit Kolloquium,"27, 28"
45,Web-Frameworks,MIB33,5,"Seminar (2 SWS), Praktikum (2 SWS)",5,Web&Mobile,nein,Web-Programmierung 2,keine,Anwesenheit,Projekt,13
46,Aktuelle Web&Mobile-Technologien,MIB34,5,"Seminar (1 SWS), Praktikum (3 SWS)",5,Web&Mobile,nein,Webprogrammierung 2 und Mobile Anwendungen 1,keine,Anwesenheit,Projekt,"13,24"
ID,Titel,Kürzel,CrP,SWS,Semester,Allgemein,Pflicht,Vorgänger,Nachfolger,Prüfungsvorleistung,Prüfungsleistung,Abhängig Von
